EBU_SEGMENT,ACQ_CHANNEL,PRODUCT_TYPE,CLT,CLTV_USER,AVG_REV_MONTH,CLTV,INFLOW_BASE,MONTH_ID
any,BSA,M2M,40.01742749,72.94422002,1.822811325,7732.087322,106,01/03/2024
SMB,BSA,M2M,40.01742749,72.94422002,1.822811325,7732.087322,106,01/03/2024
any,DSA,M2M,75.64152091,139.7920902,1.848086719,6989.60451,50,01/03/2024
SMB,DSA,M2M,51.76478253,107.8748977,2.083943802,5393.744886,50,01/03/2024
any,RAM,M2M,20.90057943,33.80970914,1.617644585,135.2388366,4,01/03/2024
SMB,RAM,M2M,18.74829117,30.66942502,1.635851755,122.6777001,4,01/03/2024
SMB,any,M2M,55.46692475,41.91797286,0.755729167,22048.85372,526,01/03/2024
Public,any,M2M,91.95707702,97.16673909,1.056653193,974193.7261,10026,01/03/2024
MLE,any,M2M,77.20728967,144.7411497,1.874708339,362142.3567,2502,01/03/2024
any,any,M2M,81.87383143,136.6519981,1.669055859,2128764.826,15578,01/03/2024
Strategic,any,M2M,79.75017717,161.9887818,2.031202782,408859.6852,2524,01/03/2024
Strategic,OTHER,M2M,84.04374849,149.6806864,1.780985368,149.6806864,1,01/03/2024
SMB,OTHER,M2M,46.16025508,97.10216986,2.103588243,388.4086795,4,01/03/2024
any,OTHER,M2M,80.62888566,147.9098319,1.83445214,739.5491593,5,01/03/2024
any,SR BSA,M2M,27.84572716,27.64195535,0.992682116,6136.514087,222,01/03/2024
SMB,SR BSA,M2M,27.84572716,27.64195535,0.992682116,6136.514087,222,01/03/2024
any,DIGITAL,M2M,17.29539501,35.59532054,2.058080808,1103.454937,31,01/03/2024
SMB,DIGITAL,M2M,17.29539501,35.59532054,2.058080808,1103.454937,31,01/03/2024
MLE,DIRECT SALES,M2M,83.23676345,212.6963012,2.555316814,496220.4707,2333,01/03/2024
any,DIRECT SALES,M2M,84.38354937,155.2549057,1.839871715,2310503.507,14882,01/03/2024
Public,DIRECT SALES,M2M,91.92254595,95.35145193,1.037302122,955993.6571,10026,01/03/2024
Strategic,DIRECT SALES,M2M,78.38161733,162.4760187,2.072884232,409926.9951,2523,01/03/2024
any,INDIRECT HUNTING,M2M,41.99865946,14.67673692,0.349457271,1585.087587,108,01/03/2024
SMB,INDIRECT HUNTING,M2M,41.99865946,14.67673692,0.349457271,1585.087587,108,01/03/2024
any,TAM DIRECT SALES,M2M,27.91346806,24.86274661,0.890707903,4201.804177,169,01/03/2024
MLE,TAM DIRECT SALES,M2M,27.91346806,24.86274661,0.890707903,4201.804177,169,01/03/2024
any,INDIRECT FRANCHISES,M2M,15.526746,35.33820575,2.275956968,35.33820575,1,01/03/2024
SMB,INDIRECT FRANCHISES,M2M,15.526746,35.33820575,2.275956968,35.33820575,1,01/03/2024
any,PAM,M2M,47.43118388,63.67003617,1.342366582,0,0,01/03/2024
SMB,PAM,M2M,47.43118388,63.67003617,1.342366582,0,0,01/03/2024
OTHER,any,M2M,62.1810369,8.745788117,0.140650407,0,0,01/03/2024
Wholesale,any,M2M,81.29068206,164.5058731,2.02367441,0,0,01/03/2024
MLE,OTHER,M2M,77.95081217,143.7119827,1.84362393,0,0,01/03/2024
OTHER,OTHER,M2M,62.1810369,8.745788117,0.140650407,0,0,01/03/2024
Public,OTHER,M2M,38.99253728,99.03540922,2.539855473,0,0,01/03/2024
Wholesale,OTHER,M2M,75.30249587,387.2659524,5.142803673,0,0,01/03/2024
any,FIELD SALES,M2M,75.03866445,134.9137942,1.797923713,0,0,01/03/2024
SMB,FIELD SALES,M2M,50.77042066,61.61672423,1.213634306,0,0,01/03/2024
any,INDIRECT SALES,M2M,57.38719991,27.21650198,0.474260846,0,0,01/03/2024
MLE,INDIRECT SALES,M2M,57.38719991,27.21650198,0.474260846,0,0,01/03/2024
any,INDIRECT DEALERS,M2M,39.03031465,124.4300462,3.188035948,0,0,01/03/2024
SMB,INDIRECT DEALERS,M2M,26.85667125,118.0206593,4.394463415,0,0,01/03/2024
any,BSA,any,40.89753599,537.2387768,13.1362138,1659530.582,3089,01/03/2024
SMB,BSA,any,40.89753599,537.2387768,13.1362138,1659530.582,3089,01/03/2024
any,DSA,any,55.52923484,632.7823458,11.3954811,91753.44015,145,01/03/2024
SMB,DSA,any,55.52923484,632.7823458,11.3954811,91753.44015,145,01/03/2024
any,PAM,any,51.22559381,716.0782292,13.97891514,165414.0709,231,01/03/2024
SMB,PAM,any,51.22559381,716.0782292,13.97891514,165414.0709,231,01/03/2024
any,RAM,any,25.90112787,427.0075259,16.48605914,309153.4488,724,01/03/2024
SMB,RAM,any,25.90112787,427.0075259,16.48605914,309153.4488,724,01/03/2024
OTHER,any,any,43.15337259,135.1680127,3.13226996,9596.928899,71,01/03/2024
Wholesale,any,any,40.08429455,1082.649823,27.00932709,77950.78724,72,01/03/2024
any,any,any,55.616783,413.846427,7.441034965,14871985.2,35936,01/03/2024
SMB,any,any,38.81372774,468.667681,12.07479179,4031948.059,8603,01/03/2024
Public,any,any,76.1685497,170.6403962,2.240299926,1905029.383,11164,01/03/2024
MLE,any,any,61.27626734,473.4149284,7.725910029,3479126.309,7349,01/03/2024
Strategic,any,any,72.84679627,473.1397617,6.494997529,4105433.712,8677,01/03/2024
Public,OTHER,any,68.26820374,632.6963531,9.267804314,1898.089059,3,01/03/2024
MLE,OTHER,any,53.70807504,629.9159484,11.72851471,41574.45259,66,01/03/2024
OTHER,OTHER,any,43.15337259,135.1680127,3.13226996,9596.928899,71,01/03/2024
Wholesale,OTHER,any,40.08429455,1082.649823,27.00932709,77950.78724,72,01/03/2024
Strategic,OTHER,any,78.97146207,564.0052861,7.141887352,42300.39646,75,01/03/2024
SMB,OTHER,any,35.33895933,367.3561461,10.39521687,50695.14817,138,01/03/2024
any,OTHER,any,50.76108939,515.9405179,10.16409467,219274.7201,425,01/03/2024
any,SR BSA,any,41.85091092,634.4499538,15.1597645,607803.0557,958,01/03/2024
SMB,SR BSA,any,41.85091092,634.4499538,15.1597645,607803.0557,958,01/03/2024
any,DIGITAL,any,33.05471764,791.4997683,23.94513778,409205.3802,517,01/03/2024
SMB,DIGITAL,any,33.05471764,791.4997683,23.94513778,409205.3802,517,01/03/2024
Public,DIRECT SALES,any,76.50066132,156.9990483,2.0522574,1752266.378,11161,01/03/2024
Strategic,DIRECT SALES,any,71.10551943,451.8629886,6.354822976,3886925.428,8602,01/03/2024
MLE,DIRECT SALES,any,62.91726692,434.5205794,6.906221467,2420279.628,5570,01/03/2024
any,DIRECT SALES,any,66.10499708,354.2364162,5.35869347,8973871.131,25333,01/03/2024
any,INDIRECT SALES,any,59.75366541,421.0059477,7.045692425,421847.9596,1002,01/03/2024
MLE,INDIRECT SALES,any,59.75366541,421.0059477,7.045692425,421847.9596,1002,01/03/2024
any,INDIRECT DEALERS,any,37.90404034,426.0666092,11.24066473,5538.86592,13,01/03/2024
SMB,INDIRECT DEALERS,any,37.90404034,426.0666092,11.24066473,5538.86592,13,01/03/2024
any,INDIRECT HUNTING,any,36.82767962,356.2585814,9.673663535,988617.5634,2775,01/03/2024
SMB,INDIRECT HUNTING,any,36.82767962,356.2585814,9.673663535,988617.5634,2775,01/03/2024
any,TAM DIRECT SALES,any,53.14584179,596.4832604,11.22351703,424099.5981,711,01/03/2024
MLE,TAM DIRECT SALES,any,53.14584179,596.4832604,11.22351703,424099.5981,711,01/03/2024
any,INDIRECT FRANCHISES,any,35.21590884,409.5616547,11.63001803,5324.301511,13,01/03/2024
SMB,INDIRECT FRANCHISES,any,35.21590884,409.5616547,11.63001803,5324.301511,13,01/03/2024
any,FIELD SALES,any,24.11982384,339.2894696,14.06683033,0,0,01/03/2024
SMB,FIELD SALES,any,24.11982384,339.2894696,14.06683033,0,0,01/03/2024
any,BSA,840_VPN,44.15337944,711.8293993,16.12174217,711.8293993,1,01/03/2024
SMB,BSA,840_VPN,40.87977035,538.3920932,13.17013498,538.3920932,1,01/03/2024
SMB,any,840_VPN,32.25114134,716.8818106,22.22810669,1433.763621,2,01/03/2024
Public,any,840_VPN,44.84378664,1278.33547,28.50641227,10226.68376,8,01/03/2024
MLE,any,840_VPN,63.21518552,1501.361882,23.7500194,15013.61882,10,01/03/2024
Wholesale,any,840_VPN,34.70615878,901.5824559,25.97759267,17130.06666,19,01/03/2024
Strategic,any,840_VPN,76.89797159,3278.831737,42.63872855,465594.1066,142,01/03/2024
any,any,840_VPN,64.63547886,2258.470342,34.94165096,408783.1318,181,01/03/2024
any,OTHER,840_VPN,55.35781957,1380.661419,24.94067559,26232.56697,19,01/03/2024
Wholesale,OTHER,840_VPN,34.70615878,901.5824559,25.97759267,17130.06666,19,01/03/2024
Public,DIRECT SALES,840_VPN,51.67864009,1615.381758,31.25820948,12923.05406,8,01/03/2024
MLE,DIRECT SALES,840_VPN,65.35255688,2181.71837,33.38382573,21817.1837,10,01/03/2024
Strategic,DIRECT SALES,840_VPN,73.29741239,3505.931301,47.83158351,497842.2448,142,01/03/2024
any,DIRECT SALES,840_VPN,73.31589964,3274.125103,44.65777708,523860.0164,160,01/03/2024
any,INDIRECT HUNTING,840_VPN,23.4749785,656.5851845,27.96957555,656.5851845,1,01/03/2024
SMB,INDIRECT HUNTING,840_VPN,21.77794282,576.1932462,26.45765264,576.1932462,1,01/03/2024
any,PAM,840_VPN,45.90456832,1058.381609,23.05612813,0,0,01/03/2024
SMB,PAM,840_VPN,41.2660583,673.2789596,16.31556265,0,0,01/03/2024
OTHER,any,840_VPN,15.5342522,303.7361343,19.55267176,0,0,01/03/2024
MLE,OTHER,840_VPN,44.0018024,663.3322397,15.07511519,0,0,01/03/2024
OTHER,OTHER,840_VPN,15.5342522,303.7361343,19.55267176,0,0,01/03/2024
